Date,Return,Score
2020-01-02,,0.0
2020-01-03,-0.008388244746052265,-0.9367675185203552
2020-01-06,0.007009023411901127,-0.9653811454772949
2020-01-07,-0.02064081377851934,0.0
2020-01-08,0.004533692061579719,-0.8834717869758606
2020-01-09,-0.012197914935210608,0.0
2020-01-10,0.006297801244548262,-0.9577251076698303
2020-01-13,-0.0025771263388629784,-0.9729958772659302
2020-01-14,-0.01562500305487058,-0.5735204219818115
2020-01-15,0.0019998552096089917,0.45860764384269714
2020-01-16,-0.006236851288525358,0.0
2020-01-17,0.004518727451989779,-0.9496669173240662
2020-01-21,-0.015244364043097813,-0.9416723251342773
2020-01-22,-0.00888200895641389,0.0
2020-01-23,0.0019203296155556604,0.0
2020-01-24,-0.006644613391851517,-0.890031099319458
2020-01-27,-0.02778475058758978,-0.9336058497428894
2020-01-28,0.008996982713442625,0.0
2020-01-29,-0.0038027583490748418,-0.9217414855957031
2020-01-30,0.002632494923269668,0.0
2020-01-31,-0.011421651536618116,0.0
2020-02-03,-0.0027888722414777245,-0.8863033056259155
2020-02-04,0.01598081544516239,-0.9559444189071655
2020-02-05,0.004980968689833887,0.0
2020-02-06,-0.0013043337228924035,0.5458678007125854
2020-02-07,-0.023116111856807064,-0.8707383275032043
2020-02-10,-0.002807514749278206,0.7513875365257263
2020-02-11,-0.0075075711657625055,-0.8798344135284424
2020-02-12,0.00040506113911686903,-0.8652197122573853
2020-02-13,-0.00486091129105104,0.0
2020-02-14,-0.0033921336222928478,-0.9543337821960449
2020-02-18,0.0006807575068850102,-0.9667865633964539
2020-02-19,0.0013605887827421448,0.0
2020-02-20,-0.004619565188055286,-0.5847261548042297
2020-02-21,-0.02265893957637799,-0.9466665387153625
2020-02-24,-0.031285004730736476,0.0
2020-02-25,-0.035178736961822166,-0.9359914660453796
2020-02-26,-0.009414141735559323,-0.6729216575622559
2020-02-27,-0.09171834429813064,-0.9541758298873901
2020-02-28,-0.030559731689316805,-0.7262957096099854
2020-03-02,0.003940468602336544,-0.8749011158943176
2020-03-03,-0.03327638537766309,-0.8245317339897156
2020-03-04,0.020476563194165687,-0.5866623520851135
2020-03-05,-0.038747663636179985,0.0
2020-03-06,-0.03185165914179988,-0.9580021500587463
2020-03-09,-0.10223049699699338,-0.9575507640838623
2020-03-10,0.05859210462786546,0.8839573860168457
2020-03-11,-0.0377469410893827,-0.9706830382347107
2020-03-12,-0.10548787937293425,0.0
2020-03-13,0.006362254570704051,0.8727514743804932
2020-03-16,-0.16008133606570463,-0.9193560481071472
2020-03-17,0.024193594033625976,-0.6528856754302979
2020-03-18,-0.07664028075274198,0.5597140789031982
2020-03-19,0.03354179415736769,0.7850489020347595
2020-03-20,0.10836067363173685,0.8624056577682495
2020-03-23,0.03722097747788222,-0.6698784828186035
2020-03-24,0.050956831182621176,0.0
2020-03-25,0.037787430982470394,0.0
2020-03-26,0.01557347192376124,0.0
2020-03-27,-0.07149020434941611,0.8221432566642761
2020-03-30,-0.002791401124230708,0.0
2020-03-31,0.02915804017150414,-0.9389022588729858
2020-04-01,-0.02425216495862781,-0.9522687792778015
2020-04-02,0.021370608915992628,-0.9512737989425659
2020-04-03,-0.01159881663573148,-0.9606344699859619
2020-04-06,0.028071756077164833,-0.9248820543289185
2020-04-07,0.04677711661299955,0.0
2020-04-08,0.02416076027643954,0.9368680715560913
2020-04-09,0.02087692836207755,-0.8957006931304932
2020-04-13,0.01022487577289799,-0.9627454280853271
2020-04-14,-0.026923183944878804,0.516575276851654
2020-04-15,-0.05263143540413617,0.0
2020-04-16,-0.000878394794361359,-0.9263238310813904
2020-04-17,0.009889996285652236,-0.7698003053665161
2020-04-20,-0.029597389970997257,-0.9644374847412109
2020-04-21,-0.03251840927341454,-0.9636214375495911
2020-04-22,-0.03546601544952388,0.0
2020-04-23,0.0076905773551838585,-0.9598764777183533
2020-04-24,-0.00047705787465268656,-0.6932374835014343
2020-04-27,0.05368642669993284,-0.966300368309021
2020-04-28,0.06091488972561154,-0.8507459163665771
2020-04-29,0.03863391373779157,0.0
2020-04-30,-0.04397853284710507,0.6447400450706482
2020-05-01,-0.03718835912178964,0.0
2020-05-04,-0.05358336799959551,0.0
2020-05-05,-0.02123136679055848,-0.9668254852294922
2020-05-06,0.027476554365471806,-0.967514157295227
2020-05-07,-0.004691498250683268,-0.6765273809432983
2020-05-08,0.021446925936870365,-0.9555190801620483
2020-05-11,-0.014074741401468138,-0.9619987607002258
2020-05-12,-0.028551428440733106,0.0
2020-05-13,-0.03131763195963466,0.0
2020-05-14,-0.01715989725066791,-0.8540551066398621
2020-05-15,0.011386508371323822,0.0
2020-05-18,0.07855912566237744,0.0
2020-05-19,-0.042913675933271,0.0
2020-05-20,0.022297738980997517,-0.5121836066246033
2020-05-21,-0.024419143158513568,0.0
2020-05-22,-0.006075339304919658,-0.9478731155395508
2020-05-26,0.0855746452748185,0.0
2020-05-27,0.06171168156346396,-0.8605827689170837
2020-05-28,0.0072124732021574545,0.5987982749938965
2020-05-29,-0.012636894389929099,0.7984859943389893
2020-06-01,0.043728741972202556,-0.7513394951820374
2020-06-02,0.013079865653999878,0.0
2020-06-03,0.09663091202116347,-0.5370645523071289
2020-06-04,0.01232539438755298,-0.8273167610168457
2020-06-05,0.03906957268782896,-0.730871856212616
2020-06-08,0.012941468281539192,0.9321932196617126
2020-06-09,-0.03937658895634821,-0.9556364417076111
2020-06-10,-0.02758115847777387,0.0
2020-06-11,-0.08621014257358517,-0.717872142791748
2020-06-12,0.051255818333792336,-0.7155876755714417
